Librarian_id,Librarian_first_name,Librarian_last_name,Email,Phone,Librarian_birth_date,Hire_date
200885937,Ron,Friedman,ron_friedman@gmail.com,051-3613182,1984-05-07,2010-02-27
302198528,Yael,Shamir,yael_shamir@gmail.com,053-7514837,1965-08-21,2023-10-20
358242451,Shira,Eliakim,shira74eliakim@jct.ac.il,053-3495553,1974-08-11,2013-01-26
290649268,Tomer,Berkowitz,tomer_berkowitz@gmail.com,050-2537072,1994-07-12,2015-06-21
353809353,Mor,Kahana,mor79kahana@gmail.com,050-2086730,1979-04-05,2007-06-25
217666684,David,Avraham,david_avraham69@jct.ac.il,053-5219721,1969-06-12,1997-07-21
362936221,Tal,Ben-David,tal_ben-david86@gmail.com,058-7986661,1986-02-01,2020-10-10
289982092,Shaked,Revivo,shaked_revivo@gmail.com,051-4954161,1973-11-06,2012-06-12
357314350,Yael,Tzur,yael_tzur62@gmail.com,050-1256379,1962-03-01,2003-12-03
242484194,Guy,Bernstein,guy_bernstein63@gmail.com,055-8452438,1963-09-28,2015-08-02
284950177,Rotem,Dayan,rotem_dayan@gmail.com,055-9014848,1960-08-09,1997-01-21
365825033,Adam,Dayan,adam92dayan@gmail.com,052-6774411,1992-01-15,2021-10-21
388284168,Dana,Malul,dana_malul66@jct.ac.il,051-6780300,1966-09-25,1994-07-07
283555837,Yael,Ben-Ari,yael84ben-ari@gmail.com,055-5230136,1984-12-06,2011-07-30
215243817,Itay,Eliakim,itay84eliakim@gmail.com,056-2687711,1984-09-02,2014-11-16
202124350,Ido,Tayeb,ido80tayeb@jct.ac.il,051-2000634,1980-06-26,2009-02-20
307732313,Mor,Tayeb,mor_tayeb99@jct.ac.il,051-2589507,1999-07-12,2019-07-22
284819760,Ido,Menahem,ido78menahem@jct.ac.il,053-1825052,1978-04-10,2006-11-07
355947888,Michael,Katz,michael_katz@jct.ac.il,051-3401124,1999-07-01,2023-09-24
369388905,Ron,Ben-David,ron72ben-david@gmail.com,050-8865961,1972-07-22,2023-03-30
