Student_id,Student_first_name,Student_last_name,Email,Phone,Birth_date,Degree,Start_date
278377999,Maya,Menahem,maya_menahem06@jct.ac.il,055-8855072,2006-01-07,MA in art,2022-10-13
224013383,Dean,Dayan,dean_dayan@jct.ac.il,056-4980604,1983-09-25,MA in ecology,2022-08-15
290547900,Amit,Bernstein,amit_bernstein@jct.ac.il,051-0965327,1989-06-26,BA in theatre,2022-10-21
396203176,Yuval,Tayeb,yuval_tayeb80@jct.ac.il,059-5681781,1980-12-24,MA in chemistry,2023-10-26
245369665,Shira,Danon,shira_danon@jct.ac.il,056-6848160,1984-07-12,MA in english,2021-10-18
342593852,Rotem,Katz,rotem_katz@gmail.com,059-1769491,1986-12-09,MA in art,2023-10-18
306994732,Eli,Avraham,eli_avraham@jct.ac.il,057-3462863,2002-02-19,MA in theatre,2022-03-11
333365948,Maya,Ben-Shitrit,maya_ben-shitrit93@jct.ac.il,054-3152194,1993-06-04,BA in oncology,2020-08-16
310936240,Amit,Ben-Ari,amit_ben-ari88@gmail.com,055-1069160,1988-11-16,MA in cardiology,2022-07-16
397429150,Dean,Zeltser,dean_zeltser99@gmail.com,059-5376279,1999-02-08,MA in geographics,2021-07-25
221553548,Amit,Shaked,amit87shaked@gmail.com,050-0797121,1987-04-18,BA in theatre,2023-10-05
367052669,Adam,Fisher,adam83fisher@gmail.com,052-3212766,1983-11-06,MA in ecology,2021-07-26
394881858,Noa,Gross,noa89gross@jct.ac.il,053-6024359,1989-02-15,MA in geographics,2020-10-27
322865957,Dana,Zohar,dana_zohar04@gmail.com,056-4692467,2004-07-11,BA in sociology,2023-08-13
218777621,Shahar,Cohen,shahar_cohen88@gmail.com,051-0407197,1988-12-30,MA in ecology,2022-10-24
223939133,Gabriel,Malul,gabriel_malul@gmail.com,050-9361623,1986-05-23,BA in chemistry,2024-07-02
278589411,Yael,Elias,yael_elias@gmail.com,057-6434333,1993-06-05,BA in neurology,2024-07-13
359730611,Yael,Katz,yael_katz95@jct.ac.il,053-3477562,1995-01-06,BA in physics,2022-03-03
295607766,Alon,Finkelstein,alon04finkelstein@gmail.com,052-8581408,2004-06-14,BA in sociology,2024-08-02
262802366,Amit,Neumann,amit93neumann@gmail.com,053-0903665,1993-07-25,BA in history,2024-08-14
