Author_id,Author_academic_title,Author_first_name,Author_last_name,Author_birth_date,Nationality,Biography
3000,Mr.,Lodovico,Tocque,28-09-1935,Honduras,"Mr. Lodovico Tocque is a renowned author from Honduras, born on 28-09-1935. Their work has earned recognition for its depth and creativity, making them a prominent figure in their field."
3001,Dr.,Dorelia,Oen,23-01-1921,Thailand,"Dr. Dorelia Oen is a renowned author from Thailand, born on 23-01-1921. Their work has earned recognition for its depth and creativity, making them a prominent figure in their field."
3002,Prof.,Betty,Shills,18-07-1932,China,"Prof. Betty Shills is a renowned author from China, born on 18-07-1932. Their work has earned recognition for its depth and creativity, making them a prominent figure in their field."
3003,Dr.,Erika,Glawsop,14-05-1945,Philippines,"Dr. Erika Glawsop is a renowned author from Philippines, born on 14-05-1945. Their work has earned recognition for its depth and creativity, making them a prominent figure in their field."
3004,Dr.,Bjorn,Josskovitz,25-04-1930,Croatia,"Dr. Bjorn Josskovitz is a renowned author from Croatia, born on 25-04-1930. Their work has earned recognition for its depth and creativity, making them a prominent figure in their field."
3005,Mr.,Carma,Voden,29-01-1932,China,"Mr. Carma Voden is a renowned author from China, born on 29-01-1932. Their work has earned recognition for its depth and creativity, making them a prominent figure in their field."
3006,Mr.,Stephi,Kettles,07-02-1932,China,"Mr. Stephi Kettles is a renowned author from China, born on 07-02-1932. Their work has earned recognition for its depth and creativity, making them a prominent figure in their field."
3007,Mr.,Ludovico,Maylott,13-08-1927,Portugal,"Mr. Ludovico Maylott is a renowned author from Portugal, born on 13-08-1927. Their work has earned recognition for its depth and creativity, making them a prominent figure in their field."
3008,Dr.,Margalo,Lygoe,16-10-1931,Poland,"Dr. Margalo Lygoe is a renowned author from Poland, born on 16-10-1931. Their work has earned recognition for its depth and creativity, making them a prominent figure in their field."
3009,Dr.,Idelle,Hiom,10-05-1925,Russia,"Dr. Idelle Hiom is a renowned author from Russia, born on 10-05-1925. Their work has earned recognition for its depth and creativity, making them a prominent figure in their field."
3010,Prof.,Chip,Henningham,15-01-1931,United Kingdom,"Prof. Chip Henningham is a renowned author from United Kingdom, born on 15-01-1931. Their work has earned recognition for its depth and creativity, making them a prominent figure in their field."
3011,Mr.,Farlee,Nawton,01-06-1945,China,"Mr. Farlee Nawton is a renowned author from China, born on 01-06-1945. Their work has earned recognition for its depth and creativity, making them a prominent figure in their field."
3012,Prof.,Tarah,Rummin,10-08-1931,China,"Prof. Tarah Rummin is a renowned author from China, born on 10-08-1931. Their work has earned recognition for its depth and creativity, making them a prominent figure in their field."
3013,Mr.,Bonny,Wethered,19-10-1930,China,"Mr. Bonny Wethered is a renowned author from China, born on 19-10-1930. Their work has earned recognition for its depth and creativity, making them a prominent figure in their field."
3014,Mr.,Rhianon,Elliman,23-07-1925,China,"Mr. Rhianon Elliman is a renowned author from China, born on 23-07-1925. Their work has earned recognition for its depth and creativity, making them a prominent figure in their field."
3015,Dr.,Jan,Hackforth,04-09-1947,Russia,"Dr. Jan Hackforth is a renowned author from Russia, born on 04-09-1947. Their work has earned recognition for its depth and creativity, making them a prominent figure in their field."
3016,Mr.,Heriberto,Bellringer,21-04-1945,Indonesia,"Mr. Heriberto Bellringer is a renowned author from Indonesia, born on 21-04-1945. Their work has earned recognition for its depth and creativity, making them a prominent figure in their field."
3017,Mr.,Sherm,Powner,23-06-1934,Mexico,"Mr. Sherm Powner is a renowned author from Mexico, born on 23-06-1934. Their work has earned recognition for its depth and creativity, making them a prominent figure in their field."
3018,Prof.,Linda,Kiwitz,27-03-1927,China,"Prof. Linda Kiwitz is a renowned author from China, born on 27-03-1927. Their work has earned recognition for its depth and creativity, making them a prominent figure in their field."
3019,Dr.,Dennie,Hamlyn,12-07-1924,Argentina,"Dr. Dennie Hamlyn is a renowned author from Argentina, born on 12-07-1924. Their work has earned recognition for its depth and creativity, making them a prominent figure in their field."
3020,Mr.,Stacy,Bernat,26-03-1923,Panama,"Mr. Stacy Bernat is a renowned author from Panama, born on 26-03-1923. Their work has earned recognition for its depth and creativity, making them a prominent figure in their field."
3021,Dr.,Sammy,Amorts,08-04-1921,Tanzania,"Dr. Sammy Amorts is a renowned author from Tanzania, born on 08-04-1921. Their work has earned recognition for its depth and creativity, making them a prominent figure in their field."
3022,Mr.,Una,Dearth,12-03-1950,Brazil,"Mr. Una Dearth is a renowned author from Brazil, born on 12-03-1950. Their work has earned recognition for its depth and creativity, making them a prominent figure in their field."
3023,Prof.,Illa,Freegard,21-05-1939,Poland,"Prof. Illa Freegard is a renowned author from Poland, born on 21-05-1939. Their work has earned recognition for its depth and creativity, making them a prominent figure in their field."
3024,Prof.,Ruth,Eastope,11-12-1924,Poland,"Prof. Ruth Eastope is a renowned author from Poland, born on 11-12-1924. Their work has earned recognition for its depth and creativity, making them a prominent figure in their field."
3025,Dr.,Obadias,Kornes,12-05-1929,Indonesia,"Dr. Obadias Kornes is a renowned author from Indonesia, born on 12-05-1929. Their work has earned recognition for its depth and creativity, making them a prominent figure in their field."
